original_label;group_pft;group_ord;group_fam
living_Eukaryota_Harosa;Rhizaria;Rhizaria;Rhizaria
living_Eukaryota_Harosa_Alveolata_Myzozoa_Holodinophyta_Dinophyceae_Gonyaulacales_Pyrocystaceae;Rhizaria;Rhizaria;Rhizaria
living_Eukaryota_Harosa_Rhizaria_Cercozoa_Thecofilosea_Phaeodaria;Rhizaria;Rhizaria;Rhizaria
living_Eukaryota_Harosa_Rhizaria_Retaria_Foraminifera;Rhizaria;Rhizaria;Rhizaria
living_Eukaryota_Harosa_Rhizaria_Retaria_Foraminifera_Globothalamea_Rotaliida_Globigerinacea_Orbulina;Rhizaria;Rhizaria;Rhizaria
living_Eukaryota_Harosa_Rhizaria_Retaria_Polycystinea_Spumellaria;Rhizaria;Rhizaria;Rhizaria
living_Eukaryota_Harosa_Stramenopiles_Ochrophyta_Bacillariophyta_Bacillariophytina_Bacillariophyceae_Diatoma;Diatoms;Diatoms;Diatoms
living_Eukaryota_Harosa_Stramenopiles_Ochrophyta_Phaeophyceae_Fucales_Sargassum;detritus;detritus;detritus
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Annelida;other_large;other_large;other_large
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Annelida_Polychaeta_Errantia_Alciopidae;other_large;other_large;other_large
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Annelida_Polychaeta_Errantia_Tomopteridae;other_large;other_large;other_large
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Annelida_larvae;other_large;other_large;other_large
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Annelida_part;other_large;other_large;other_large
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Arthropoda_Crustacea_Branchiopoda_Diplostraca_Cladocera_Podonidae_Evadne;Small_grazers;Small_grazers;Small_grazers
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Arthropoda_Crustacea_Branchiopoda_Diplostraca_Cladocera_Sididae_Penilia;Small_grazers;Small_grazers;Small_grazers
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Arthropoda_Crustacea_Malacostraca_Eumalacostraca;Eumalacostraca;Eumalacostraca;Eumalacostraca
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Arthropoda_Crustacea_Malacostraca_Eumalacostraca_Amphipoda;Eumalacostraca;Eumalacostraca;Eumalacostraca
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Arthropoda_Crustacea_Malacostraca_Eumalacostraca_Amphipoda_Gammaridea;Eumalacostraca;Eumalacostraca;Eumalacostraca
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Arthropoda_Crustacea_Malacostraca_Eumalacostraca_Amphipoda_Hyperiidea;Eumalacostraca;Eumalacostraca;Eumalacostraca
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Arthropoda_Crustacea_Malacostraca_Eumalacostraca_Amphipoda_Hyperiidea_Oxycephalidae;Eumalacostraca;Eumalacostraca;Eumalacostraca
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Arthropoda_Crustacea_Malacostraca_Eumalacostraca_Amphipoda_Hyperiidea_Scinidae;Eumalacostraca;Eumalacostraca;Eumalacostraca
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Arthropoda_Crustacea_Malacostraca_Eumalacostraca_Amphipoda_Senticaudata_Talitridae;Eumalacostraca;Eumalacostraca;Eumalacostraca
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Arthropoda_Crustacea_Malacostraca_Eumalacostraca_Decapoda;Eumalacostraca;Eumalacostraca;Eumalacostraca
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Arthropoda_Crustacea_Malacostraca_Eumalacostraca_Decapoda_Dendrobranchiata_Sergestoidea_Sergestidae;Eumalacostraca;Eumalacostraca;Eumalacostraca
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Arthropoda_Crustacea_Malacostraca_Eumalacostraca_Decapoda_Dendrobranchiata_Sergestoidea_Sergestidae_protozoea;Eumalacostraca;Eumalacostraca;Eumalacostraca
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Arthropoda_Crustacea_Malacostraca_Eumalacostraca_Decapoda_Pleocyemata_Achelata_phyllosoma;Eumalacostraca;Eumalacostraca;Eumalacostraca
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Arthropoda_Crustacea_Malacostraca_Eumalacostraca_Decapoda_Pleocyemata_Anomura;Eumalacostraca;Eumalacostraca;Eumalacostraca
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Arthropoda_Crustacea_Malacostraca_Eumalacostraca_Decapoda_Pleocyemata_Anomura_Galatheidae;Eumalacostraca;Eumalacostraca;Eumalacostraca
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Arthropoda_Crustacea_Malacostraca_Eumalacostraca_Decapoda_Pleocyemata_Anomura_Galatheidae_zoea;Eumalacostraca;Eumalacostraca;Eumalacostraca
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Arthropoda_Crustacea_Malacostraca_Eumalacostraca_Decapoda_Pleocyemata_Anomura_Porcellanidae_larvae;Eumalacostraca;Eumalacostraca;Eumalacostraca
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Arthropoda_Crustacea_Malacostraca_Eumalacostraca_Decapoda_Pleocyemata_Brachyura_megalopa;Eumalacostraca;Eumalacostraca;Eumalacostraca
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Arthropoda_Crustacea_Malacostraca_Eumalacostraca_Decapoda_Pleocyemata_Brachyura_zoea;Eumalacostraca;Eumalacostraca;Eumalacostraca
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Arthropoda_Crustacea_Malacostraca_Eumalacostraca_Decapoda_Pleocyemata_Gebiidea_Laomediidae_like;Eumalacostraca;Eumalacostraca;Eumalacostraca
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Arthropoda_Crustacea_Malacostraca_Eumalacostraca_Euphausiacea;Eumalacostraca;Eumalacostraca;Eumalacostraca
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Arthropoda_Crustacea_Malacostraca_Eumalacostraca_Euphausiacea_Euphausia;Eumalacostraca;Eumalacostraca;Eumalacostraca
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Arthropoda_Crustacea_Malacostraca_Eumalacostraca_Euphausiacea_calyptopsis;Eumalacostraca;Eumalacostraca;Eumalacostraca
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Arthropoda_Crustacea_Malacostraca_Eumalacostraca_Isopoda;Eumalacostraca;Eumalacostraca;Eumalacostraca
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Arthropoda_Crustacea_Malacostraca_Eumalacostraca_Mysida;Eumalacostraca;Eumalacostraca;Eumalacostraca
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Arthropoda_Crustacea_Malacostraca_Eumalacostraca_Mysida_protozoea;Eumalacostraca;Eumalacostraca;Eumalacostraca
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Arthropoda_Crustacea_Malacostraca_Hoplocarida_Stomatopoda_Squillidae_larvae;large_crustracean;large_crustracean;large_crustracean
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Arthropoda_Crustacea_Maxillopoda_Copepoda;Copepoda;Copepoda_unid;Copepoda_unid
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Arthropoda_Crustacea_Maxillopoda_Copepoda_Calanoida;Copepoda;Calanoida;Calanoida_unid
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Arthropoda_Crustacea_Maxillopoda_Copepoda_Calanoida_Acartiidae;Copepoda;Calanoida;Acartiidae
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Arthropoda_Crustacea_Maxillopoda_Copepoda_Calanoida_Aetideidae_Gaetanus_Gaetanus curvicornis;Copepoda;Calanoida;Aetideidae
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Arthropoda_Crustacea_Maxillopoda_Copepoda_Calanoida_Augaptilidae_Haloptilus;Copepoda;Calanoida;Augaptilidae
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Arthropoda_Crustacea_Maxillopoda_Copepoda_Calanoida_Calanidae;Copepoda;Calanoida;Calanidae
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Arthropoda_Crustacea_Maxillopoda_Copepoda_Calanoida_Candaciidae;Copepoda;Calanoida;Candaciidae
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Arthropoda_Crustacea_Maxillopoda_Copepoda_Calanoida_Centropagidae;Copepoda;Calanoida;Centropagidae
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Arthropoda_Crustacea_Maxillopoda_Copepoda_Calanoida_Eucalanidae;Copepoda;Calanoida;Eucalanidae
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Arthropoda_Crustacea_Maxillopoda_Copepoda_Calanoida_Euchaetidae;Copepoda;Calanoida;Euchaetidae
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Arthropoda_Crustacea_Maxillopoda_Copepoda_Calanoida_Heterorhabdidae;Copepoda;Calanoida;Heterorhabdidae
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Arthropoda_Crustacea_Maxillopoda_Copepoda_Calanoida_Metridinidae;Copepoda;Calanoida;Metridinidae
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Arthropoda_Crustacea_Maxillopoda_Copepoda_Calanoida_Pontellidae;Copepoda;Calanoida;Pontellidae
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Arthropoda_Crustacea_Maxillopoda_Copepoda_Calanoida_Pontellidae_Pontellina_Pontellina plumata;Copepoda;Calanoida;Pontellidae
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Arthropoda_Crustacea_Maxillopoda_Copepoda_Calanoida_Rhincalanidae;Copepoda;Calanoida;Rhincalanidae
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Arthropoda_Crustacea_Maxillopoda_Copepoda_Calanoida_Temoridae;Copepoda;Calanoida;Temoridae
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Arthropoda_Crustacea_Maxillopoda_Copepoda_Cyclopoida_Oithonidae;Copepoda;Cyclopoida;Oithonidae
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Arthropoda_Crustacea_Maxillopoda_Copepoda_Harpacticoida;Copepoda;Harpacticoida;Harpacticoida
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Arthropoda_Crustacea_Maxillopoda_Copepoda_Monstrilloida;Copepoda;Monstrilloida;Monstrilloida
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Arthropoda_Crustacea_Maxillopoda_Copepoda_Poecilostomatoida_Corycaeidae;Copepoda;Poecilostomatoida;Corycaeidae
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Arthropoda_Crustacea_Maxillopoda_Copepoda_Poecilostomatoida_Oncaeidae;Copepoda;Poecilostomatoida;Oncaeidae
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Arthropoda_Crustacea_Maxillopoda_Copepoda_Poecilostomatoida_Sapphirinidae;Copepoda;Poecilostomatoida;Sapphirinidae
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Arthropoda_Crustacea_Maxillopoda_Copepoda_Poecilostomatoida_Sapphirinidae_Copilia;Copepoda;Poecilostomatoida;Sapphirinidae
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Arthropoda_Crustacea_Maxillopoda_Copepoda_badfocus;Copepoda;Copepoda_unid;Copepoda_unid
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Arthropoda_Crustacea_Maxillopoda_Copepoda_dead;Copepoda;Copepoda_unid;Copepoda_unid
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Arthropoda_Crustacea_Maxillopoda_Copepoda_multiple;Copepoda;Copepoda_unid;Copepoda_unid
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Arthropoda_Crustacea_Maxillopoda_Copepoda_part;Copepoda;Copepoda_unid;Copepoda_unid
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Arthropoda_Crustacea_Maxillopoda_Thecostraca_Cirripedia;Small_grazers;Small_grazers;Small_grazers
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Arthropoda_Crustacea_Maxillopoda_Thecostraca_Cirripedia_cirrus;Small_grazers;Small_grazers;Small_grazers
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Arthropoda_Crustacea_Maxillopoda_Thecostraca_Cirripedia_cypris;Small_grazers;Small_grazers;Small_grazers
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Arthropoda_Crustacea_Maxillopoda_Thecostraca_Cirripedia_nauplii;Small_grazers;Small_grazers;Small_grazers
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Arthropoda_Crustacea_Oligostraca_Ostracoda;Small_grazers;Small_grazers;Small_grazers
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Arthropoda_Crustacea_Oligostraca_Ostracoda_empty;Small_grazers;Small_grazers;Small_grazers
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Arthropoda_Crustacea_larvae;Small_grazers;Small_grazers;Small_grazers
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Arthropoda_Crustacea_metanauplii;Small_grazers;Small_grazers;Small_grazers
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Arthropoda_Crustacea_nauplii;Small_grazers;Small_grazers;Small_grazers
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Arthropoda_Crustacea_part;Small_grazers;Small_grazers;Small_grazers
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Arthropoda_Hexapoda_Insecta;other_large;other_large;other_large
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Chaetognatha;Chaetognatha;Chaetognatha;Chaetognatha
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Chaetognatha_head;Chaetognatha;Chaetognatha;Chaetognatha
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Chaetognatha_tail;Chaetognatha;Chaetognatha;Chaetognatha
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Chordata_Craniata_Vertebrata_Gnathostomata_Actinopterygii;other_large;other_large;other_large
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Chordata_Craniata_Vertebrata_Gnathostomata_Actinopterygii_egg;other_large;other_large;other_large
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Chordata_Craniata_Vertebrata_Gnathostomata_Actinopterygii_scale;detritus;detritus;detritus
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Chordata_Tunicata_Appendicularia_Fritillariidae;Tunicata;Tunicata;Tunicata
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Chordata_Tunicata_Appendicularia_Oikopleuridae;Tunicata;Tunicata;Tunicata
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Chordata_Tunicata_Appendicularia_head;Tunicata;Tunicata;Tunicata
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Chordata_Tunicata_Appendicularia_tail;Tunicata;Tunicata;Tunicata
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Chordata_Tunicata_Thaliacea_Doliolida;Tunicata;Tunicata;Tunicata
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Chordata_Tunicata_Thaliacea_Pyrosomatida;Tunicata;Tunicata;Tunicata
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Chordata_Tunicata_Thaliacea_Salpida;Tunicata;Tunicata;Tunicata
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Chordata_Tunicata_Thaliacea_Salpida_Iasis;Tunicata;Tunicata;Tunicata
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Chordata_Tunicata_Thaliacea_Salpida_Salpidae_endostyle;Tunicata;Tunicata;Tunicata
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Chordata_Tunicata_Thaliacea_Salpida_Salpidae_nucleus;Tunicata;Tunicata;Tunicata
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Chordata_Tunicata_Thaliacea_Salpida_colony;Tunicata;Tunicata;Tunicata
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Chordata_Tunicata_Thaliacea_part;Tunicata;Tunicata;Tunicata
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Cnidaria;Cnidaria;Cnidaria;Cnidaria
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Cnidaria_Anthozoa_Hexacorallia_Actiniaria;Cnidaria;Cnidaria;Cnidaria
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Cnidaria_Hydrozoa;Cnidaria;Cnidaria;Cnidaria
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Cnidaria_Hydrozoa_Hydroidolina;Cnidaria;Cnidaria;Cnidaria
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Cnidaria_Hydrozoa_Hydroidolina_Anthoathecata_Porpitidae_larvae;Cnidaria;Cnidaria;Cnidaria
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae;Cnidaria;Cnidaria;Cnidaria
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae_Calycophorae_Abylidae;Cnidaria;Cnidaria;Cnidaria
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae_Calycophorae_Abylidae_Abylopsis_Abylopsis tetragona;Cnidaria;Cnidaria;Cnidaria
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae_Calycophorae_Abylidae_Abylopsis_Abylopsis tetragona_bract;Cnidaria;Cnidaria;Cnidaria
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae_Calycophorae_Abylidae_Abylopsis_Abylopsis tetragona_eudoxie;Cnidaria;Cnidaria;Cnidaria
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae_Calycophorae_Abylidae_Abylopsis_Abylopsis tetragona_gonophore;Cnidaria;Cnidaria;Cnidaria
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae_Calycophorae_Abylidae_Abylopsis_Abylopsis tetragona_nectophore;Cnidaria;Cnidaria;Cnidaria
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae_Calycophorae_Abylidae_Bassia_Bassia bassensis;Cnidaria;Cnidaria;Cnidaria
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae_Calycophorae_Abylidae_Bassia_Bassia bassensis_bract;Cnidaria;Cnidaria;Cnidaria
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae_Calycophorae_Abylidae_Bassia_Bassia bassensis_eudoxie;Cnidaria;Cnidaria;Cnidaria
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae_Calycophorae_Abylidae_Bassia_Bassia bassensis_gonophore;Cnidaria;Cnidaria;Cnidaria
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae_Calycophorae_Abylidae_Bassia_Bassia bassensis_nectophore;Cnidaria;Cnidaria;Cnidaria
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae_Calycophorae_Diphyidae;Cnidaria;Cnidaria;Cnidaria
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae_Calycophorae_Diphyidae_bract;Cnidaria;Cnidaria;Cnidaria
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae_Calycophorae_Diphyidae_eudoxie;Cnidaria;Cnidaria;Cnidaria
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae_Calycophorae_Diphyidae_gonophore;Cnidaria;Cnidaria;Cnidaria
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae_Calycophorae_Diphyidae_nectophore;Cnidaria;Cnidaria;Cnidaria
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae_Calycophorae_Hippopodiidae_nectophore;Cnidaria;Cnidaria;Cnidaria
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae_Physonectae;Cnidaria;Cnidaria;Cnidaria
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae_Physonectae_Agalmatidae_Agalma_Agalma elegans_siphonula;Cnidaria;Cnidaria;Cnidaria
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae_Physonectae_nectophore;Cnidaria;Cnidaria;Cnidaria
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae_part;Cnidaria;Cnidaria;Cnidaria
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Cnidaria_Hydrozoa_Trachylina_Narcomedusae_Aeginidae_Solmundella_Solmundella bitentaculata;Cnidaria;Cnidaria;Cnidaria
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Cnidaria_Hydrozoa_Trachylina_Trachymedusae_Rhopalonematidae_Aglaura;Cnidaria;Cnidaria;Cnidaria
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Cnidaria_Hydrozoa_Trachylina_Trachymedusae_Rhopalonematidae_Rhopalonema_Rhopalonema velatum;Cnidaria;Cnidaria;Cnidaria
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Cnidaria_Scyphozoa;Cnidaria;Cnidaria;Cnidaria
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Cnidaria_part;Cnidaria;Cnidaria;Cnidaria
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Ctenophora;Cnidaria;Cnidaria;Cnidaria
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Ctenophora_part;Cnidaria;Cnidaria;Cnidaria
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Echinodermata;other_small;other_small;other_small
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Echinodermata_Echinoidea_pluteus;other_small;other_small;other_small
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Echinodermata_Ophiuroidea_pluteus;other_small;other_small;other_small
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Mollusca;other_small;other_small;other_small
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Mollusca_Bivalvia;other_large;other_large;other_large
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Mollusca_Cephalopoda;other_small;other_small;other_small
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Mollusca_Gastropoda_Atlanta;other_large;other_large;other_large
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Mollusca_Gastropoda_Firola;other_large;other_large;other_large
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Mollusca_Gastropoda_Heterobranchia_Euthyneura_Euopisthobranchia_Gymnosomata;Pteropoda;Pteropoda;Pteropoda
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Mollusca_Gastropoda_Heterobranchia_Euthyneura_Euopisthobranchia_Thecosomata_Cavoliniidae;Pteropoda;Pteropoda;Pteropoda
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Mollusca_Gastropoda_Heterobranchia_Euthyneura_Euopisthobranchia_Thecosomata_Cliidae;Pteropoda;Pteropoda;Pteropoda
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Mollusca_Gastropoda_Heterobranchia_Euthyneura_Euopisthobranchia_Thecosomata_Creseidae;Pteropoda;Pteropoda;Pteropoda
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Mollusca_Gastropoda_Heterobranchia_Euthyneura_Euopisthobranchia_Thecosomata_Creseidae_Hyalocylis_Hyalocylis striata;Pteropoda;Pteropoda;Pteropoda
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Mollusca_Gastropoda_Heterobranchia_Euthyneura_Euopisthobranchia_Thecosomata_Cuvierinidae;Pteropoda;Pteropoda;Pteropoda
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Mollusca_Gastropoda_Heterobranchia_Euthyneura_Euopisthobranchia_Thecosomata_Cymbulia peroni;Pteropoda;Pteropoda;Pteropoda
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Mollusca_Gastropoda_Heterobranchia_Euthyneura_Euopisthobranchia_Thecosomata_Limacinidae;Pteropoda;Pteropoda;Pteropoda
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Mollusca_egg;other_small;other_small;other_small
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Mollusca_part;other_small;other_small;other_small
living_other_egg;other_small;other_small;other_small
living_other_multiple;other_small;other_small;other_small
living_other_othertocheck;detritus;detritus;detritus
not_living_artefact;detritus;detritus;detritus
not_living_artefact_badfocus;detritus;detritus;detritus
not_living_artefact_bubble;detritus;detritus;detritus
not_living_detritus;detritus;detritus;detritus
not_living_detritus_fiber;detritus;detritus;detritus
temporary_t001;detritus;detritus;detritus
temporary_t002;detritus;detritus;detritus
temporary_t004;detritus;detritus;detritus
temporary_t005;detritus;detritus;detritus
temporary_t007;detritus;detritus;detritus
temporary_t009;detritus;detritus;detritus
temporary_t010;detritus;detritus;detritus
temporary_t013;detritus;detritus;detritus
temporary_t014;detritus;detritus;detritus